strike,last_price,bid,ask
115.0,84.17,84.17,84.17
130.0,69.7,69.7,69.7
135.0,67.2,67.2,67.2
140.0,62.05,62.05,62.05
145.0,55.7,55.7,55.7
150.0,52.5,50.5,52.5
155.0,49.3,49.3,49.3
160.0,42.64,41.0,42.64
165.0,37.66,37.66,38.0
170.0,34.0,33.34,34.0
175.0,28.0,28.0,29.55
180.0,25.7,24.0,25.7
185.0,23.4,20.29,23.4
190.0,19.2,16.75,19.2
195.0,15.85,13.78,16.35
200.0,12.83,11.0,13.35
205.0,10.3,8.65,10.6
210.0,8.14,6.6,8.25
215.0,5.98,4.93,6.3
220.0,4.45,3.7,4.7
225.0,3.4,2.67,3.44
230.0,2.38,2.0,2.52
235.0,1.79,1.43,1.79
240.0,1.29,1.06,1.29
245.0,0.97,0.77,0.97
250.0,0.71,0.58,0.71
255.0,0.53,0.47,0.53
260.0,0.41,0.35,0.41
265.0,0.31,0.27,0.31
270.0,0.23,0.22,0.23
275.0,0.17,0.17,0.19
280.0,0.15,0.15,0.16
285.0,0.12,0.12,0.12
290.0,0.11,0.11,0.11
295.0,0.08,0.08,0.11
300.0,0.09,0.08,0.09
