strike,last_price,bid,ask
300.0,308.57,308.28,308.61
350.0,257.64,257.64,257.64
400.0,199.44,199.44,199.44
440.0,168.6,168.6,168.6
445.0,163.91,163.91,163.91
450.0,159.12,159.12,159.12
455.0,144.5,144.5,144.5
460.0,148.74,148.74,150.39
465.0,134.69,134.69,134.69
470.0,126.91,126.91,126.91
475.0,123.23,123.23,123.23
480.0,119.97,119.3,119.97
490.0,118.7,118.7,119.03
495.0,113.56,113.56,113.56
500.0,101.78,99.22,101.9
505.0,94.22,94.13,94.96
510.0,89.15,88.76,91.13
515.0,84.5,84.05,85.4
520.0,89.58,89.58,89.59
525.0,73.9,73.9,75.61
530.0,68.91,68.91,70.6
535.0,65.25,64.44,66.36
540.0,60.79,57.8,60.85
545.0,55.25,55.25,55.25
550.0,53.03,47.94,53.03
555.0,46.21,45.76,46.6
560.0,40.78,40.51,42.58
565.0,35.89,35.89,37.16
570.0,31.69,31.2,33.38
575.0,28.2,26.58,28.3
580.0,25.0,21.12,25.0
585.0,20.74,18.36,20.74
590.0,16.9,14.14,16.9
595.0,13.18,10.72,13.5
600.0,9.78,7.82,10.06
605.0,7.03,5.28,7.17
610.0,4.59,3.16,4.75
615.0,2.85,1.98,2.92
620.0,1.62,1.12,1.71
625.0,0.88,0.65,0.95
630.0,0.49,0.35,0.5
635.0,0.27,0.2,0.28
640.0,0.15,0.12,0.17
645.0,0.09,0.08,0.11
650.0,0.07,0.06,0.08
655.0,0.05,0.05,0.07
660.0,0.05,0.04,0.06
665.0,0.04,0.03,0.05
670.0,0.03,0.03,0.04
675.0,0.03,0.03,0.03
680.0,0.03,0.03,0.04
685.0,0.03,0.02,0.03
690.0,0.02,0.02,0.02
695.0,0.02,0.02,0.02
700.0,0.02,0.01,0.02
705.0,0.01,0.01,0.02
710.0,0.01,0.01,0.02
715.0,0.01,0.01,0.01
720.0,0.01,0.01,0.01
725.0,0.01,0.01,0.01
730.0,0.01,0.01,0.01
735.0,0.01,0.01,0.01
740.0,0.01,0.01,0.01
745.0,0.01,0.01,0.01
750.0,0.01,0.01,0.01
755.0,0.01,0.01,0.01
760.0,0.01,0.01,0.01
765.0,0.01,0.01,0.01
770.0,0.01,0.01,0.01
775.0,0.01,0.01,0.01
780.0,0.02,0.01,0.02
785.0,0.01,0.01,0.01
790.0,0.01,0.01,0.01
795.0,0.01,0.01,0.01
800.0,0.01,0.01,0.01
